X1,X1,cluster,status
1286,1286,1,1
1287,1287,1,1
1291,1291,0,1
1292,1292,0,1
1293,1293,1,1
1295,1295,1,1
1296,1296,1,1
1298,1298,0,1
1300,1300,1,1
1301,1301,0,1
1302,1302,1,1
1304,1304,1,1
1305,1305,1,1
1306,1306,1,1
1307,1307,1,1
1308,1308,0,1
1309,1309,1,1
1310,1310,1,1
1311,1311,0,1
1313,1313,0,1
1314,1314,0,1
1315,1315,1,1
1316,1316,0,1
1318,1318,1,1
1319,1319,0,1
1320,1320,1,1
1321,1321,1,1
1322,1322,0,1
1323,1323,0,1
1324,1324,0,1
1325,1325,0,1
1326,1326,0,1
1327,1327,0,1
1328,1328,1,1
1330,1330,0,1
1331,1331,0,1
1334,1334,0,1
1336,1336,0,1
1338,1338,1,1
1339,1339,1,1
1340,1340,1,1
1342,1342,1,1
1344,1344,0,1
1345,1345,0,1
1346,1346,0,1
1347,1347,1,1
1348,1348,0,1
1350,1350,1,1
1351,1351,0,1
1352,1352,0,1
1353,1353,1,1
1354,1354,0,1
1355,1355,0,1
1356,1356,1,1
1357,1357,0,1
1358,1358,0,1
1360,1360,1,1
1361,1361,0,1
1362,1362,0,1
1363,1363,1,1
1364,1364,1,1
1367,1367,1,1
1368,1368,1,1
1369,1369,0,1
1370,1370,0,1
1371,1371,1,1
1373,1373,1,1
1375,1375,1,1
1377,1377,1,1
1378,1378,1,1
1379,1379,0,1
1381,1381,1,1
1382,1382,1,1
1383,1383,1,1
1384,1384,0,1
1385,1385,1,1
1386,1386,0,1
1387,1387,1,1
1390,1390,0,1
1391,1391,0,1
1392,1392,1,1
1393,1393,1,1
1394,1394,0,1
1396,1396,0,1
1397,1397,0,1
1398,1398,1,1
1399,1399,1,1
1402,1402,1,1
1403,1403,1,1
1405,1405,1,1
1407,1407,0,1
1409,1409,0,1
1410,1410,1,1
1413,1413,0,1
1414,1414,1,1
1416,1416,0,1
1417,1417,1,1
1418,1418,1,1
1419,1419,1,1
1420,1420,1,1
1421,1421,1,1
1422,1422,0,1
1423,1423,1,1
1424,1424,1,1
1425,1425,1,1
1426,1426,1,1
1427,1427,1,1
1428,1428,0,1
1429,1429,1,1
1430,1430,0,1
1432,1432,1,1
1434,1434,0,1
1436,1436,1,1
1438,1438,1,1
1440,1440,0,1
1441,1441,0,1
1442,1442,0,1
1443,1443,0,1
