X1,status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
17243,0,9.95,0.58,1.1,1.15,1.02,2.25,-5.63,-0.03,-0.82,0.66,0.66,-0.18,-1.24,-0.01,-0.01,1,1,1,1,57,68,427,288,4120
17244,0,15.58,0.01,1.06,0.93,0.93,0.48,23.98,0.01,0.03,0.23,0.23,0.08,92.42,0.18,0.18,0,0,1,0,0,1467,1009,297,7219
17245,0,0.25,0.01,4.96,4.43,4.13,5.26,26.62,0.05,0.04,0.28,0.26,0.04,55.22,0.36,0.37,0,0,0,0,75,232,158,287,6201
17246,0,-11.03,-3.13,0.91,0.73,0.73,-0.43,-20.67,-0.13,-1.37,0.28,0.28,-0.05,-6.82,-0.15,-0.15,1,1,1,1,0,332,794,236,4941
17247,0,0.36,0,3.76,3.73,3.73,95.26,338.78,0.22,0.3,2.27,2.27,0,450.09,0.13,0.13,0,0,1,0,0,0,0,286,4711
17248,0,36.65,0,1.03,3.71,3.71,143.99,-45.2,-0.2,-7.69,0.63,0.59,-0.02,-45,-0.32,-0.34,1,1,1,1,0,10,551,294,8810
17249,0,4.06,0,1.25,1.26,1.26,1.11,1.46,0.03,-0.1,1.78,1.75,0.69,7.94,0.09,0.09,0,0,1,1,0,0,0,294,5630
17250,0,65.09,0,1.02,1.93,1.37,1.47,1.09,0.01,0.03,0.08,0.06,0.92,2.39,0.14,0.19,0,0,1,0,620,0,0,294,4649
17252,0,55.5,0,1.02,1.46,1.46,41.98,-1.5,-0.02,-2.35,0.31,0.3,-0.67,-1.28,-0.07,-0.07,1,1,1,1,0,0,0,292,7310
17253,0,1.84,0,1.54,1.59,1.57,10.94,-197.93,-0.31,-0.88,0.88,0.84,-0.01,-190.6,-0.34,-0.36,1,1,1,1,6,225,86,287,2825
17254,0,6.46,0,1.15,1.16,0.93,17.91,-2.53,0,0.03,2,1.8,-0.4,-0.88,0,0,1,1,1,0,37,87,92,228,4120
17256,0,33.17,16.94,1.03,1.14,0.71,53.96,3.07,0.02,0.4,0.36,0.36,0.33,3.23,0.07,0.07,0,0,1,0,385,253,219,276,4540
17257,0,7.68,2.78,1.13,1.14,0.23,15.44,-2.8,-0.14,-1.74,0.95,0.94,-0.36,-2.74,-0.15,-0.15,1,1,1,1,302,120,17,285,4759
17259,0,10.61,0,1.09,0.78,0.67,0.39,1.55,0.02,0.04,0.6,0.59,0.64,4.28,0.1,0.1,0,0,1,0,61,0,0,247,2599
17260,0,1.38,0,1.72,1.84,1.84,25.31,9.28,0.03,0.04,0.65,0.18,0.11,9.67,0.05,0.17,0,0,1,0,0,0,0,245,7022
17262,0,-4.73,-0.62,0.79,1.07,0.3,1.38,-7.68,-0.25,-1.07,0.37,0.36,-0.13,-7.41,-0.67,-0.68,1,1,1,1,607,327,0,216,4772
17263,0,8.24,4.2,1.12,1.08,0.91,2.28,3.24,0.05,0.15,0.78,0.78,0.4,3.98,0.11,0.11,0,0,1,0,70,174,247,272,2740
17264,0,2.9,1.26,1.35,1.38,1.31,3.81,3.88,0.07,0.09,1,0.98,0.26,4.64,0.09,0.09,0,0,1,0,16,82,110,280,4624
17265,0,0.89,0.05,2.12,1.68,1.68,2.49,-75.51,-0.02,-0.03,0.11,0.11,-0.01,238.75,0.57,0.57,1,1,1,1,0,940,1243,243,6020
17268,0,2.32,0.69,1.43,1.34,1.34,4.84,17.04,0.21,0.3,0.87,0.87,0.06,18.98,0.26,0.26,0,0,1,0,0,88,323,267,8121
17269,0,5.47,0.01,1.18,1.18,0.39,4.18,4.01,0.01,0.01,0.46,0.38,0.25,7.57,0.05,0.06,0,0,1,0,507,77,172,275,2790
17271,0,11.16,1.45,1.09,1.13,1.13,3.08,2.4,0.07,0.48,0.78,0.76,0.42,4.23,0.16,0.17,0,0,1,0,0,280,295,273,4120
17272,0,-15.06,0,0.93,0.45,0.45,0.18,-2.29,-0.07,-1.4,0.2,0.04,-0.45,-0.91,-0.14,-0.75,1,1,1,1,0,0,0,209,7312
17273,0,-3.39,0,0.71,0.17,0.16,-0.26,-18.6,-0.17,-0.43,0.58,0.58,-0.05,-5.79,-0.09,-0.09,1,1,1,1,7,0,0,271,5630
17274,0,2.02,0.44,1.5,0.94,0.94,0.95,3.07,0.04,0.05,0.75,0.73,0.33,6.16,0.1,0.11,0,0,1,0,0,61,192,271,6831
17275,0,0.24,0.1,5.11,6.02,6.02,2.19,52.25,0.09,0.07,0.22,0.22,0.02,66.17,0.47,0.47,0,0,0,0,0,2,203,269,4613
17276,0,3.38,1.14,1.3,7.25,0.79,290.13,1.93,0.02,0.03,0.17,0.07,0.52,2.4,0.14,0.34,0,0,1,0,1870,106,142,269,4120
17277,0,3.85,0.24,1.26,1.27,0.31,47.3,1.74,0.01,0.01,0.29,0.29,0.58,1.91,0.04,0.04,0,0,1,0,939,917,291,269,4642
17278,0,47.49,0,1.02,1.06,1.06,2.15,6.76,0.02,0.07,0.66,0.66,0.15,10.4,0.04,0.04,0,0,1,0,0,0,0,268,4941
17280,0,2.36,0.16,1.42,1.56,1.56,3.7,7.18,0.06,0.03,0.88,0.87,0.14,12.95,0.12,0.12,0,0,1,0,0,8,231,264,7022
17281,0,18.98,0,1.05,0.99,0.99,0.94,-7.54,-0.07,-1.21,0.35,0.34,-0.13,-5.77,-0.15,-0.15,1,1,1,1,0,0,457,210,4615
17283,0,19.2,2.06,1.05,1.13,1.04,1.49,-15.83,-0.14,-3,1.02,0.98,-0.06,-14.09,-0.12,-0.13,1,1,1,1,23,150,26,261,5630
17284,0,1.19,0.3,1.84,3.05,3.05,22.84,5.21,0.02,0.01,1.62,0.25,0.19,8.65,0.02,0.14,0,0,1,0,0,26,33,261,8540
17285,0,23.63,0,1.04,0.61,0.61,0.75,1.51,0.06,0.08,0.45,0.45,0.66,2.06,0.17,0.17,0,0,1,0,0,0,0,261,7311
17286,0,-9.85,0,0.9,0.95,0.95,-6.94,-1.75,-0.06,-0.9,0.44,0.42,-0.57,-1.41,-0.11,-0.12,1,1,1,1,0,0,0,226,4120
17287,0,8.86,3.7,1.11,1.06,0.81,1.81,1.64,0.06,0.03,0.91,0.79,0.61,1.86,0.07,0.08,0,0,1,0,88,171,133,258,4321
17289,0,8.97,3.07,1.11,1.17,0.51,14.65,-2.76,-0.08,-1.05,0.36,0.36,-0.36,-2.48,-0.19,-0.19,1,1,1,1,556,162,433,255,4674
