X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
7185,1.38,0.19,1.72,1.72,1.62,6.78,0.13,0.21,0.05,22.39,0.07,0,9,48,76,1980,138.60000000000002,-3233.7936842105264,0.007215007215007214,0
7188,10.06,1.3,1.1,1.27,1.27,1.32,0.04,0.27,0.21,12.34,0.06,0,0,33,66,1978,118.67999999999999,-1506.2482517482515,0.008426019548365353,0
7189,182.62,0.0,1.01,1.01,1.01,3.22,0.02,0.06,0.98,1.37,0.01,0,0,110,93,1978,19.78,-1.0,0.05055611729019211,0
7190,14.01,3.26,1.07,1.04,0.99,2.23,0.03,0.13,0.47,2.45,0.03,0,11,155,193,1977,59.309999999999995,-2447.0353500372685,0.01686056314280897,0
7191,5.44,1.39,1.18,0.8,0.22,0.74,0.02,0.02,0.43,3.28,0.06,0,265,139,44,1977,118.61999999999999,-420.7869771979028,0.008430281571404486,0
7192,0.43,0.0,3.31,4.15,2.97,2.77,0.05,0.05,0.04,50.15,0.08,0,52,21,74,1976,158.08,-1.0,0.006325910931174089,0
7195,5.72,2.84,1.17,0.55,0.55,0.89,0.03,0.06,0.62,3.14,0.27,0,0,56,55,1975,533.25,-67.07511737089202,0.001875293014533521,0
7196,2.05,0.21,1.49,1.45,1.45,1.56,-0.04,-0.15,-0.35,-1.22,-0.01,1,0,9,82,1975,-19.75,-2430.9494247363377,-0.05063291139240506,0
7197,6.26,0.0,1.16,1.16,0.43,5.17,0.04,0.19,0.02,67.37,0.03,0,121,0,0,1975,59.25,1.0,0.016877637130801686,0
7198,2.38,0.66,1.42,1.43,0.9,1.66,0.14,0.31,0.07,16.98,0.07,0,41,45,18,1974,138.18,-704.6427230046947,0.007236937328122738,0
7199,2.75,0.0,1.36,0.32,0.32,0.8,0.03,0.02,0.63,3.66,0.15,0,0,0,54,1974,296.09999999999997,-1.0,0.0033772374197906115,0
7200,0.66,0.0,2.52,2.95,2.72,2.52,0.11,0.13,0.02,72.97,0.16,0,18,0,0,1974,315.84000000000003,1.0,0.003166160081053698,0
7201,9.9,0.0,1.1,1.16,0.88,162.28,0.02,0.06,0.34,3.34,0.01,0,45,0,134,1974,19.740000000000002,-1.0,0.05065856129685917,0
7202,5.0,0.0,1.2,1.33,1.03,22.05,0.13,0.54,0.0,507.09,0.06,0,34,0,0,1973,118.38,1.0,0.0,0
7203,1.54,0.05,1.65,0.57,0.54,0.7,0.13,0.21,0.0,236.45,0.12,0,5,69,8,1972,236.64,-4637.254909090909,0.0042258282623394185,0
7204,4.79,1.23,1.21,1.89,1.67,2.17,0.05,0.16,0.08,16.23,0.06,0,27,113,88,1972,118.32,-1218.884516831284,0.008451656524678837,0
7205,2.45,0.02,1.41,1.61,1.59,6.11,0.04,0.08,0.18,8.77,0.08,0,4,207,333,1972,157.76,-78980.53191489361,0.006338742393509129,0
7206,4.04,0.46,1.25,1.33,0.83,1.88,-0.1,-0.4,-0.09,4.78,0.04,1,77,75,96,1972,78.88,-2561.3718260869564,0.012677484787018257,0
7207,3.8,0.99,1.26,0.66,0.32,0.75,0.05,0.13,0.25,5.71,0.03,0,27,69,1,1971,59.129999999999995,-774.6724386724386,0.016911889058007782,0
7208,4.87,0.88,1.21,1.34,0.14,1.96,0.02,0.04,0.29,10.07,0.1,0,516,74,34,1971,197.10000000000002,-331.20515777610825,0.0050735667174023336,0
7209,0.36,0.16,3.81,2.24,1.75,1.72,0.08,0.07,0.14,11.01,0.12,0,42,29,145,1970,236.39999999999998,-1577.5326246719158,0.004230118443316414,0
